Event Type,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
Quema de Vehículos,Cesar,Aguachica,,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Noche y Niebla # 1. Pp. 79,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Corregimiento Norean,Medios de Transporte,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 5. Pp. 100,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,Corregimiento Norean,Infraestructura Víal - Infraestructura de Comunicaciones ,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 16 Abril  Pp. 67,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Quema de Vehículos,Cesar,Aguachica,Vía Aguachica-Río de Oro,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,Revista Noche y Niebla # 17 Agosto Pp. 128,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Cesar,Aguachica,Corregimiento San Benito - Vereda San Benito,Infraestructura Víal,Guerrilla,Guerrilla-ELN,  ,,Revista Noche y Niebla # 18 Octubre Pp. 101,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Atentado,Cesar,Aguachica,Cabecera Municipal - Barrio Potosí,Vivienda Urbana,Grupos Paramilitares,Grupos Paramilitares,,, Noche y Niebla # 38 Pp. 119,8.305925,-73.611665,"Aguachica, Aguachica, Cesar, Colombia"
Sabotaje,Caldas,Aguadas,IP La Mermita ,Material Electoral,Guerrilla,Guerrilla No Identificada,,,Noche y Niebla # 7 y 8. Pp. 64,5.608334,-75.453135,"Aguadas, Aguadas, Caldas, Colombia"
Sabotaje-Quema de Vehículos,Caldas,Aguadas,IP Río Arriba,Medios de Transporte - Material Electoral ,Guerrilla,Guerrilla No Identificada,,, Noche y Niebla # 24 Pp. 80,5.608334,-75.453135,"Aguadas, Aguadas, Caldas, Colombia"
Asesinato Selectivo,Caldas,Aguadas,Zona Rural,Vivienda,Guerrilla,Guerrilla-FARC,,,Noche y Niebla # 24 Pp. 2,5.608334,-75.453135,"Aguadas, Aguadas, Caldas, Colombia"
Quema de Vehículos,Casanare,Aguazul,,Medios de Transporte,Guerrilla,Guerrilla-CGSB,,,"Boletín Informativo Justicia y Paz. Volumen 4, #1. PP. 79",5.170847,-72.550819,"Aguazul, Aguazul, Casanare, Colombia"
