Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo
Accidente por MAP,BOLIVAR,CANTAGALLO,CANTAGALLO,2010,3,Accidente,13160,13,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,5,Accidente,5790,5,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2010,5,Accidente,50711,50,Campos,Rural,1
Accidente por MAP,HUILA,SAN AGUSTÍN,SAN AGUSTÍN,2010,5,Accidente,41668,41,,Rural,1
Accidente por MAP,ANTIOQUIA,BRICEÑO,BRICEÑO,2010,5,Accidente,5107,5,,Rural,1
Accidente por MAP,HUILA,SAN AGUSTÍN,SAN AGUSTÍN,2010,5,Accidente,41668,41,,Rural,1
Accidente por MAP,HUILA,SAN AGUSTÍN,SAN AGUSTÍN,2010,5,Accidente,41668,41,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,5,Accidente,5361,5,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2010,6,Accidente,50711,50,,Rural,1
Accidente por MAP,CHOCO,EL CARMEN DEL DARIEN,EL CARMEN DEL DARIEN,2010,1,Accidente,27150,27,,Rural,1
Accidente por MAP,CHOCO,EL CARMEN DEL DARIEN,EL CARMEN DEL DARIEN,2010,5,Accidente,27150,27,,Rural,1
Accidente por MAP,CAQUETA,PUERTO RICO,,2010,5,Accidente,18592,18,,Rural,1
Accidente por MAP,NARIÑO,BARBACOAS,BARBACOAS,2010,6,Accidente,52079,52,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,6,Accidente,5790,5,Infra torres electricas,Rural,1
Accidente por MAP,NORTE DE SANTANDER,ÁBREGO,ÁBREGO,2010,5,Accidente,54003,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2009,2,Accidente,54344,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,HACARÍ,HACARÍ,2010,6,Accidente,54344,54,,Rural,1
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2010,6,Accidente,5854,5,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,BUGALAGRANDE,BUGALAGRANDE,2010,6,Accidente,76113,76,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,PRADERA,PRADERA,2010,6,Accidente,76563,76,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TEORAMA,TEORAMA,2010,6,Accidente,54800,54,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TEORAMA,TEORAMA,2010,6,Accidente,54800,54,,Rural,1
Accidente por MAP,CAQUETA,PUERTO RICO,PUERTO RICO,2010,6,Accidente,18592,18,,Rural,1
Accidente por MAP,ANTIOQUIA,CÁCERES,CÁCERES,2010,2,Accidente,5120,5,,Rural,1
Accidente por MAP,ANTIOQUIA,BRICEÑO,BRICEÑO,2010,3,Accidente,5107,5,,Rural,1
Accidente por MAP,ANTIOQUIA,ITUANGO,ITUANGO,2010,4,Accidente,5361,5,,Rural,1
Accidente por MAP,ARAUCA,TAME,TAME,2010,6,Accidente,81794,81,Sendero,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TEORAMA,TEORAMA,2010,6,Accidente,54800,54,,Rural,1
Accidente por MAP,ANTIOQUIA,VALDIVIA,VALDIVIA,2010,3,Accidente,5854,5,,Rural,1
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2010,4,Accidente,18410,18,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,4,Accidente,5790,5,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2001,3,Accidente,23807,23,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,CONVENCIÓN,CONVENCIÓN,2010,6,Accidente,54206,54,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,3,Accidente,23807,23,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2009,5,Accidente,52678,52,,Rural,1
Accidente por MAP,NARIÑO,SAMANIEGO,SAMANIEGO,2009,12,Accidente,52678,52,,Rural,1
Accidente por MAP,ANTIOQUIA,SAN LUIS,,2010,3,Accidente,5660,5,,Rural,1
Accidente por MAP,SANTANDER,SABANA DE TORRES,SABANA DE TORRES,2010,2,Accidente,68655,68,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,5,Accidente,5790,5,,Rural,1
Accidente por MAP,CASANARE,PAZ DE ARIPORO,PAZ DE ARIPORO,2010,3,Accidente,85250,85,,Rural,1
Accidente por MAP,ANTIOQUIA,GUADALUPE,,2010,3,Accidente,5315,5,,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,5,Accidente,23807,23,,Rural,1
Accidente por MAP,TOLIMA,RIOBLANCO,RIOBLANCO,2010,6,Accidente,73616,73,,Rural,1
Accidente por MAP,GUAVIARE,MIRAFLORES,MIRAFLORES,2010,6,Accidente,95200,95,,Rural,1
Accidente por MAP,NARIÑO,PUERRES,PUERRES,2010,6,Accidente,52573,52,Camino,Rural,1
Accidente por MAP,HUILA,NEIVA,NEIVA,2010,6,Accidente,41001,41,,Rural,1
Accidente por MAP,CORDOBA,PUERTO LIBERTADOR,PUERTO LIBERTADOR,2010,6,Accidente,23580,23,,Rural,1
Accidente por MAP,ANTIOQUIA,SAN CARLOS,SAN CARLOS,2010,6,Accidente,5649,5,,Rural,1
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2010,6,Accidente,95001,95,,Rural,1
Accidente por MAP,CAQUETA,MONTAÑITA,LA MONTAÑITA,2010,6,Accidente,18410,18,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,SAN PEDRO,SAN PEDRO,2010,6,Accidente,76670,76,Viviendas abandonadas,Rural,1
Accidente por MAP,CORDOBA,TIERRALTA,TIERRALTA,2010,6,Accidente,23807,23,Cerros,Rural,1
Accidente por MAP,TOLIMA,PLANADAS,PLANADAS,2010,7,Accidente,73555,73,Camino,Rural,1
Accidente por MAP,HUILA,ALGECIRAS,ALGECIRAS,2010,7,Accidente,41020,41,,Rural,1
Accidente por MAP,TOLIMA,RIOBLANCO,RIOBLANCO,2010,7,Accidente,73616,73,,Rural,1
Accidente por MAP,PUTUMAYO,PUERTO CAICEDO,PUERTO CAICEDO,2010,7,Accidente,86569,86,,Rural,1
Accidente por MAP,TOLIMA,PLANADAS,PLANADAS,2010,7,Accidente,73555,73,,Rural,1
Accidente por MAP,PUTUMAYO,PUERTO LEGUÍZAMO,LEGUÍZAMO,2010,7,Accidente,86573,86,,Rural,1
Accidente por MAP,CAQUETA,SAN VICENTE DEL CAGUÁN,SAN VICENTE DEL CAGUÁN,2010,7,Accidente,18753,18,,Rural,1
Accidente por MAP,VALLE DEL CAUCA,PRADERA,PRADERA,2010,7,Accidente,76563,76,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,7,Accidente,5790,5,,Rural,1
Accidente por MAP,META,VISTAHERMOSA,VISTAHERMOSA,2010,7,Accidente,50711,50,,Rural,1
Accidente por MAP,ANTIOQUIA,TARAZÁ,TARAZÁ,2010,7,Accidente,5790,5,,Rural,1
Accidente por MAP,NORTE DE SANTANDER,TIBÚ,CAMPO DOS,2010,3,Accidente,54810,54,,Rural,1
Accidente por MAP,CAQUETA,SOLANO,SOLANO,2010,4,Accidente,18756,18,,Rural,1
Accidente por MAP,ARAUCA,TAME,TAME,2010,8,Accidente,81794,81,Fincas,Rural,1
Accidente por MAP,TOLIMA,MELGAR,CUALAMANÁ,2010,8,Accidente,73449,73,,Rural,1
Accidente por MAP,CESAR,VALLEDUPAR,VALLEDUPAR,2003,4,Accidente,20001,20,,Rural,1
Accidente por MAP,VAUPES,MITÚ,MITÚ,2003,5,Accidente,97001,97,,Rural,1
Accidente por MAP,CAUCA,SANTA ROSA,SANTA ROSA,2003,6,Accidente,19701,19,,Rural,1
Accidente por MAP,CESAR,VALLEDUPAR,VALLEDUPAR,2003,10,Accidente,20001,20,,Rural,1
Accidente por MAP,GUAVIARE,SAN JOSÉ DEL GUAVIARE,SAN JOSÉ DEL GUAVIARE,2007,2,Accidente,95001,95,,Rural,1
