Tipo de evento,Departamento,Municipio,Corregimiento,Año,Mes,Evento,COD_DANE_MUNI,COD_DANE_DEPTO,Tipo de lugar,Tipo de area,Rotulo,Lat,Lon,Address
Accidente por MAP,META,SAN JUAN DE ARAMA,SAN JUAN DE ARAMA,2009,8,Accidente,50683,50,,Rural,1,3.371603,-73.874958,"San Juan de Arama, San Juan de Arama, Meta, Colombia"
Accidente por MAP,ANTIOQUIA,APARTADÓ,APARTADÓ,2009,7,Accidente,5045,5,,Rural,1,7.882761,-76.624692,"Apartadó, Apartadó, Antioquia, Colombia"
Accidente por MAP,BOLIVAR,ZAMBRANO,ZAMBRANO,2005,1,Accidente,13894,13,,Rural,1,9.744554,-74.8162,"Zambrano, Zambrano, Bolivar, Colombia"
Accidente por MAP,PUTUMAYO,PUERTO GUZMÁN,PUERTO GUZMÁN,2009,8,Accidente,86571,86,,Rural,1,0.96377,-76.407981,"Puerto Guzmán, Puerto Guzmán, Putumayo, Colombia"
Accidente por MAP,META,EL CASTILLO,EL CASTILLO,2009,8,Accidente,50251,50,,Rural,1,3.564252,-73.794394,"El Castillo, El Castillo, Meta, Colombia"
Accidente por MAP,NARIÑO,SANTA CRUZ,GUACHAVES,2009,8,Accidente,52699,52,,Rural,1,1.51723,-77.25114,"Santacruz, San Lorenzo, Nariño, Colombia"
Accidente por MAP,NARIÑO,SANTA CRUZ,GUACHAVES,2009,8,Accidente,52699,52,,Rural,1,1.51723,-77.25114,"Santacruz, San Lorenzo, Nariño, Colombia"
Accidente por MAP,CAQUETA,EL PAUJIL,EL PAUJIL,2009,4,Accidente,18256,18,,Rural,1,1.571227,-75.3266979,"El Paujil, El Paujil, Caquetá, Colombia"
Accidente por MAP,BOLIVAR,EL CARMEN DE BOLÍVAR,EL CARMEN DE BOLÍVAR,2003,4,Accidente,13244,13,,Rural,1,9.721064,-75.115733,"El Carmen de Bolívar, El Cármen de Bolívar, Bolivar, Colombia"
Accidente por MAP,LA GUAJIRA,URIBIA,URIBIA,2009,6,Accidente,44847,44,,Rural,1,11.7149978,-72.2659391,"Uribia, Uribia, La Guajira, Colombia"
Accidente por MAP,CESAR,VALLEDUPAR,ATANQUEZ,1994,5,Accidente,20001,20,En cerca edificio residencial,Rural,1,10.4742449,-73.2436335,"Valledupar, Valledupar, Cesar, Colombia"
Accidente por MAP,ARAUCA,TAME,TAME,2009,5,Accidente,81794,81,,Rural,1,6.457094,-71.745515,"Tame, Tame, Arauca, Colombia"
Accidente por MAP,ANTIOQUIA,CAMPAMENTO,CAMPAMENTO,2009,7,Accidente,5134,5,,Rural,1,6.979498,-75.2966019,"Campamento, Campamento, Antioquia, Colombia"
Accidente por MAP,ANTIOQUIA,SONSÓN,SONSÓN,2009,6,Accidente,5756,5,en sobre cerca rivera de un rio,Rural,1,5.712002,-75.309798,"Sonsón, Sonsón, Antioquia, Colombia"
