Event Date,Number of Victims,State,City,Location,Authorship,Source,Lat,Lon,Address
2000-03-13,4,Antioquia,Andes,Vereda El El Libano,Grupos Paramilitares,Noche y Niebla # 15 Pp. 159 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 252,5.656421,-75.879654,"Andes, Andes, Antioquia, Colombia"
2000-10-24,4,Antioquia,Andes,Corregimiento Tapartó,Grupos Paramilitares,Noche y Niebla # 18 Pp. 103 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 335,5.656421,-75.879654,"Andes, Andes, Antioquia, Colombia"
1998-12-13,7,Antioquia,Andes y Betulia,Corregimiento Buenos Aires y Veredas Cañaveral y La Urradeña,Grupos Paramilitares,Noche y Niebla # 10 Pp. 90 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,6.031116,-75.9785244,"Salgar-Betulia, Salgar, Antioquia, Colombia"
1999-06-26,4,Antioquia,Angelopolis,Vereda La Promisión,Grupos Paramilitares,Noche y Niebla # 12 Pp. 120 Defensoría del Pueblo. Masacres ocurridas en Colombia 1999 Luz para la Vida,6.11183,-75.71057,"Angelopolis, Angelópolis, Antioquia, Colombia"
2000-05-29,5,Antioquia,Angelopolis,Caseríos San Isidro y Santa Rita-Vereda Bellavista,Grupos Paramilitares,Noche y Niebla # 16 Pp. 145-146 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 301,6.11183,-75.71057,"Angelopolis, Angelópolis, Antioquia, Colombia"
2000-06-25,5,Antioquia,Angelopolis y Armenia,Cabecera Municipal y Corregimiento La Estación (Angelopolis) & Cabecera Municipal y Caserío Mojones (Armenia) ,Grupos Paramilitares,Noche y Niebla # 16 Pp. 190 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,6.1138062,-75.7431466,"Angelopolis, Angelópolis, Antioquia, Colombia"
1999-03-19,7,Antioquia,Anori,Cabecera Municipal,Grupos Paramilitares,Noche y Niebla # 11 Pp. 102 Defensoría del Pueblo Masacres ocurridas en Colombia 1999 Luz para la Vida Pp. 40,7.073562,-75.147287,"Anorí, Anorí, Antioquia, Colombia"
2000-06-22,6,Antioquia,Anori,"IPD Santo Domingo, Vereda Chagualito, Vereda La Meseta y Vereda El Barcino",Grupos Paramilitares,Noche y Niebla # 16 Pp. 185 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003,7.073562,-75.147287,"Anorí, Anorí, Antioquia, Colombia"
2000-10-02,4,Caldas,Anserma,Vereda El Retiro,Grupo Armado No Identificado,Noche y Niebla # 18 Pp. 62,5.242598,-75.781831,"Anserma, Anserma, Caldas, Colombia"
2000-06-07,5,Valle del Cauca,Ansermanuevo,IPD Alto Tigre,Grupos Paramilitares,Noche y Niebla # 16 Pp. 163 En Deuda con la Humanidad. Paramilitarismo de Estado en Colombia 1988-2003 Pp. 302,4.793953,-75.991513,"Ansermanuevo, Ansermanuevo, Valle del Cauca, Colombia"
