Event Date,Event Type,Day,Month,Year,State,City,Location,Property Type,Authorship 1,Authorship 2,Fatal Victims,Injured,Source,Lat,Lon,Address
1991-06-05,Sabotaje,5,6,1991,Santander,Rionegro,,Infraestructura Víal,Guerrilla,Guerrilla-ELN,,,"Boletín Informativo Justicia y Paz. Volumen 4, #2. PP. 105",7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1992-06-06,Ataque a Propiedad,6,6,1992,Antioquia,Rionegro,Casco Urbano,Entidad Bancaria,Guerrilla,Guerrilla-CGSB,,,Justicia y Paz Vol 5 #2,6.144837,-75.375085,"Rionegro, Rionegro, Antioquia, Colombia"
1992-11-15,Quema de Vehículos,15,11,1992,Santander,Rionegro,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-FARC,,,Justicia y Paz Vol 5 #4,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1992-11-21,Ataque a Instituciones,21,11,1992,Santander,Rionegro,Zona Rural,Campero de Electrificadora de Santander,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1992-11-24,Sabotaje,24,11,1992,Santander,Rionegro,,Infraestructura Eléctrica,Guerrilla,Guerrilla-CGSB,,,Justicia y Paz Vol 5 #4,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1992-12-02,Sabotaje,2,12,1992,Antioquia,Rionegro,,Infraestructura Aeroporturaria,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 5 #4,6.144837,-75.375085,"Rionegro, Rionegro, Antioquia, Colombia"
1993-02-18,Quema de Vehículos,18,2,1993,Santander,Rionegro,Vía Costa Atlántica,Medios de Transporte,Guerrilla,Guerrilla-ELN,,,"Boletin Informativo Justicia y Paz. Volumen 6, No 1.  Enero Marzo   1993. Pp 87",7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1994-03-13,Sabotaje,13,3,1994,Santander,Rionegro,Vereda San Pedro ,Material Electoral,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #1,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1994-04-07,Quema de Vehículos,7,4,1994,Santander,Rionegro,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN, ,1,Justicia y Paz Vol 7 #2,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
1994-05-07,Quema de Vehículos,7,5,1994,Santander,Rionegro,Zona Rural,Medios de Transporte (Bus de Servicio Público) ,Guerrilla,Guerrilla-ELN,,,Justicia y Paz Vol 7 #2,7.265055,-73.1504099,"Rionegro, Rionegro, Santander, Colombia"
